rule,project,file,line,verdict,reason,provenance,confidence
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1713,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
DCL15-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1721,FP,"DCL15-C: getter/setter needs extern linkage, registered by address in dbus_new.c property table",hostap_full_audit_0.4.169,high
DCL13-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1723,FP,DCL13-C user_data pinned by WPADBusPropertyAccessor typedef (categorical_patterns.md),hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1731,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1731,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1738,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
DCL15-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1746,FP,"DCL15-C: getter/setter needs extern linkage, registered by address in dbus_new.c property table",hostap_full_audit_0.4.169,high
DCL40-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1746,FP,DCL40-C 31-char collision graded FP: not practically actionable on modern toolchains (established convention),hostap_full_audit_0.4.169,med
DCL13-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1748,FP,DCL13-C user_data pinned by WPADBusPropertyAccessor typedef (categorical_patterns.md),hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1756,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1756,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1763,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
DCL15-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1771,FP,"DCL15-C: getter/setter needs extern linkage, registered by address in dbus_new.c property table",hostap_full_audit_0.4.169,high
DCL13-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1773,FP,DCL13-C user_data pinned by WPADBusPropertyAccessor typedef (categorical_patterns.md),hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1781,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1781,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1788,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
DCL15-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1796,FP,"DCL15-C: getter/setter needs extern linkage, registered by address in dbus_new.c property table",hostap_full_audit_0.4.169,high
DCL13-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1798,FP,DCL13-C user_data pinned by WPADBusPropertyAccessor typedef (categorical_patterns.md),hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1807,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1807,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1820,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1820,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1840,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1842,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1842,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1852,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1853,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1854,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1854,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
DCL15-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1863,FP,"DCL15-C: getter/setter needs extern linkage, registered by address in dbus_new.c property table",hostap_full_audit_0.4.169,high
DCL13-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1865,FP,DCL13-C user_data pinned by WPADBusPropertyAccessor typedef (categorical_patterns.md),hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1875,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1875,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
API00-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1898,FP,"API00-C: param supplied only by internal D-Bus dispatch machinery, never externally NULL",hostap_full_audit_0.4.169,high
API00-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1898,FP,"API00-C: param supplied only by internal D-Bus dispatch machinery, never externally NULL",hostap_full_audit_0.4.169,high
DCL15-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1898,FP,"DCL15-C: getter/setter needs extern linkage, registered by address in dbus_new.c property table",hostap_full_audit_0.4.169,high
DCL13-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1900,FP,DCL13-C user_data pinned by WPADBusPropertyAccessor typedef (categorical_patterns.md),hostap_full_audit_0.4.169,high
DCL31-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1908,FP,"DCL31-C: libdbus function, header transitively included via dbus_new_helpers.h (categorical_patterns.md)",hostap_full_audit_0.4.169,high
STR30-C,hostap,wpa_supplicant/dbus/dbus_new_handlers_p2p.c,1908,FP,STR30-C rule-logic bug: dbus_set_error/_const take const char* per dbus-errors.h,hostap_full_audit_0.4.169,high
