rule,idx,project,file,line,verdict,reason,provenance,confidence
INT32-C,0,sqlite,ext/misc/closure.c,185,FP,heights are short int 0..AVL-depth-bounded; hBefore-hAfter cannot overflow int (max ~64 nodes deep),,high
INT32-C,1,sqlite,ext/misc/closure.c,186,FP,same bounded short heights; (max)+1 cannot overflow int,,high
DCL30-C,2,sqlite,ext/misc/closure.c,207,FP,"returns pB which is pP->pBefore (heap node), not a local; param naming misread",,high
DCL30-C,3,sqlite,ext/misc/closure.c,228,FP,"returns pA = pP->pAfter (heap node), not automatic storage",,high
DCL13-C,4,sqlite,ext/misc/closure.c,235,FP,"p->pUp is read at 236 but closureAvlFromPtr may return &p path; p is dereferenced read-only yet returned-via address not applicable; signature is internal-only and could be const but p members not written so DCL13 is technically valid TP-shaped — however returned pp aliases caller's &p, const would not compile; FP",,high
DCL13-C,5,sqlite,ext/misc/closure.c,235,FP,pp is returned to caller as a mutable closure_avl** (used as lvalue *pp= at 255); cannot be const,,high
EXP34-C,6,sqlite,ext/misc/closure.c,255,FP,pp from closureAvlFromPtr is never null (returns &p or &pUp->pAfter/pBefore),,high
DCL30-C,7,sqlite,ext/misc/closure.c,265,FP,"returns pTop which tracks heap node p, not automatic storage",,high
DCL13-C,8,sqlite,ext/misc/closure.c,271,FP,p only read; but closureAvlSearch returns p (the param) so adding const to param would force const return mismatch with callers storing non-const; FP,,med
DCL13-C,9,sqlite,ext/misc/closure.c,280,FP,closureAvlFirst returns p (param) used later as mutable tree node by callers; const would not compile,,med
API00-C,10,sqlite,ext/misc/closure.c,287,FP,internal AVL helper; p guarded by while(p) loop condition before deref; null-tolerant,,high
DCL13-C,11,sqlite,ext/misc/closure.c,287,FP,closureAvlNext returns p reused as mutable cursor node; const would break callers,,med
DCL30-C,12,sqlite,ext/misc/closure.c,330,FP,"returns pTop, a heap AVL node, not automatic local",,high
MEM05-C,13,sqlite,ext/misc/closure.c,344,FP,"recursion is bounded by AVL tree height (log n); stack depth ~O(height), not unbounded attacker input",,high
MSC04-C,14,sqlite,ext/misc/closure.c,344,TP,closureAvlDestroy at 344-349 calls itself directly on pBefore and pAfter — factual direct recursion,,high
DCL30-C,15,sqlite,ext/misc/closure.c,408,FP,"returns heap node, not automatic local (closureAvlInsert returns p/pNew heap nodes)",,high
ARR38-C,16,sqlite,ext/misc/closure.c,434,FP,nIn=strlen(zIn) so nIn+1 bytes allocated by malloc64 then memcpy nIn+1 — size matches allocation exactly,,high
INT32-C,17,sqlite,ext/misc/closure.c,434,FP,"nIn is sqlite3_int64 from strlen, +1 then cast size_t; allocation is malloc64(nIn+1) identical; no overflow in practice (strlen bounded by addressable memory)",,high
ARR00-C,18,sqlite,ext/misc/closure.c,447,FP,"zOut is sqlite3_malloc64 heap buffer, not a local array; returned correctly to be freed by caller",,high
DCL30-C,19,sqlite,ext/misc/closure.c,447,FP,"zOut is heap-allocated (malloc64), not automatic storage",,high
ARR01-C,20,sqlite,ext/misc/closure.c,460,FP,"line 460 is memset(p,0,sizeof(*p)) on closure_vtab* p; sizeof(*p) is the struct size, correct idiom not a decayed array",,high
STR34-C,21,sqlite,ext/misc/closure.c,484,FP,zKey passed to memcmp/strlen as const char*; isspace not applied to zKey; sign-extension claim misattributed,,high
STR34-C,22,sqlite,ext/misc/closure.c,485,FP,"zStr indexed with isspace((unsigned char)zStr[i]) at 489/492 — already cast to unsigned char; line 485 is just strlen, no sign issue",,med
INT31-C,23,sqlite,ext/misc/closure.c,488,FP,"nKey=(int)strlen, guarded nStr<nKey+1 ensures nKey>=0 and bounded; memcmp size nKey non-negative small",,high
INT32-C,24,sqlite,ext/misc/closure.c,491,FP,i bounded by string length (loop scans until '=' within finite KEY=VALUE arg); cannot reach INT_MAX,,high
