rule,project,file,line,verdict,reason,provenance,confidence
API00-C,hostap,src/common/wpa_common.c,3359,FP,"value is passed to os_strdup(value) with no NULL check in this function, but every caller (wpa_config_parse_cipher and friends) invokes it only through the config parser dispatch table which guarantees a non-NULL value string.",delta_api00_int32_task546,medium
API00-C,hostap,src/pasn/pasn_responder.c,36,FP,"pasn_responder_pmksa_cache_deinit merely forwards pmksa to pmksa_cache_auth_deinit, which itself begins with 'if (pmksa == NULL) return;', so the pointer is safely handled.",delta_api00_int32_task546,high
EXP39-C,hostap,src/drivers/driver_bsd.c,819,FP,event.michael_mic_failure is written under case RTM_IEEE80211 (nested RTM_IEEE80211_MICHAEL case) which breaks out before reaching the sibling case RTM_IFANNOUNCE that writes event.interface_status; the two writes are in mutually exclusive branches of the same outer switch(rtm->rtm_type) so never both execute for one call.,delta_exp39_task546,high
EXP39-C,hostap,src/drivers/driver_nl80211_event.c,1083,FP,"event.assoc_reject is written and sent inside the `if (cmd == NL80211_CMD_CONNECT && status_code != WLAN_STATUS_SUCCESS) { ... return; }` block which returns unconditionally, so the later event.assoc_info writes at line 1083+ only execute when that branch was not taken; mutually exclusive on the same execution path.",delta_exp39_task546,high
EXP39-C,hostap,src/radius/radius_server.c,1643,TP,"recvfrom(...,(struct sockaddr *)&from.ss,...) writes the union via the ss member, then from.sin6.sin6_addr/sin6_port are read on the same execution path when data->ipv6 is set; sin6 fields beyond a bare leading family tag are not a guaranteed common initial sequence with sockaddr_storage, so this genuinely type-puns the same object.",delta_exp39_task546,medium
EXP39-C,hostap,src/radius/radius_server.c,1657,TP,"Same union `from`: recvfrom() writes via the ss member, then from.sin.sin_addr/sin_port are read on the !data->ipv6 path targeting the same object with a different, non-common-prefix member.",delta_exp39_task546,medium
EXP39-C,hostap,src/tls/tlsv1_client_read.c,343,TP,"In tls_cert_chain_failure_event, ev.cert_fail.depth/reason/reason_txt/cert are written and ev is sent as TLS_CERT_CHAIN_FAILURE (interpreted as cert_fail), but line 343 writes ev.peer_cert.subject in between on the same object -- an apparent copy-paste bug from tls_peer_cert_event that punts through the wrong active union member.",delta_exp39_task546,high
EXP39-C,hostap,wpa_supplicant/p2p_supplicant.c,744,FP,"force_freq is declared `unsigned int *force_freq` in p2ps_group_capability's own signature, not a float; the message's claimed 'float object' does not match the actual pointee type at this call site, indicating a tool type-misidentification rather than a real incompatible access.",delta_exp39_task546,medium
INT32-C,hostap,src/common/dpp.c,220,FP,"pos2 + 1 is pointer arithmetic on a bounded scan position within the short chan_list string being parsed, not a size/count computation that can approach INT_MAX.",delta_api00_int32_task546,high
INT32-C,hostap,src/eap_peer/tncc.c,1050,FP,"pos2 + 1 is pointer arithmetic where pos2 was already verified < end a few lines above (line 1040), so it stays within the bounded IMC config buffer being parsed.",delta_api00_int32_task546,high
INT32-C,hostap,src/eap_server/tncs.c,1000,FP,"pos2 + 1 is pointer arithmetic where pos2 was already verified < end a few lines above (line 990), so it stays within the bounded IMV config buffer being parsed.",delta_api00_int32_task546,high
