rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL13-C,0,sqlite,src/wherecode.c,28,TP,explainIndexColumnName reads pIdx->aiColumn/pTable->aCol only never writes pIdx and const Index* compiles,,med
INT32-C,1,sqlite,src/wherecode.c,59,FP,"iTerm+i indexes index columns bounded by nTerm/index nColumn (i16, asserted small) no realistic INT overflow",,high
DCL13-C,2,sqlite,src/wherecode.c,87,TP,explainIndexRange only reads pLoop->u.btree fields never mutates pLoop so const WhereLoop* is valid,,med
API00-C,3,sqlite,src/wherecode.c,117,FP,API00 pParse is internal codegen context guaranteed non-null by caller invariant not a trust boundary,,high
API00-C,4,sqlite,src/wherecode.c,117,FP,API00 pTabList internal codegen context non-null by caller contract not a trust boundary,,high
API00-C,5,sqlite,src/wherecode.c,117,FP,API00 pLevel internal codegen context non-null by caller contract not a trust boundary,,high
DCL13-C,6,sqlite,src/wherecode.c,120,TP,pTabList only read via pTabList->a[pLevel->iFrom] never modified const SrcList* would compile,,low
DCL13-C,7,sqlite,src/wherecode.c,121,TP,pLevel only read (pLevel->pWLoop pLevel->iFrom) never modified const WhereLevel* would compile,,low
MEM30-C,8,sqlite,src/wherecode.c,229,FP,"sqlite3DbFree(db,pOp->p4.z) frees p4.z but pOp itself is live VdbeOp the freed arg is read first not UAF",,high
MEM30-C,9,sqlite,src/wherecode.c,231,FP,pOp->p4.z reassigned after free with new sqlite3StrAccumFinish result pOp is live VdbeOp not freed object,,high
API00-C,10,sqlite,src/wherecode.c,245,FP,API00 pParse internal context non-null by caller invariant not a trust boundary,,high
API00-C,11,sqlite,src/wherecode.c,245,FP,API00 pLevel internal context non-null by caller invariant not a trust boundary,,high
API00-C,12,sqlite,src/wherecode.c,280,FP,API00 pParse declared const here internal context non-null by contract not trust boundary,,high
API00-C,13,sqlite,src/wherecode.c,280,FP,API00 pWInfo internal context non-null by caller contract not trust boundary,,high
API00-C,14,sqlite,src/wherecode.c,280,FP,API00 pLevel internal context non-null by caller contract not trust boundary,,high
EXP34-C,15,sqlite,src/wherecode.c,286,FP,pWInfo non-null by caller contract (WHERE codegen never passes null) deref guarded by invariant,,high
