rule,project,file,line,verdict,reason,provenance,confidence
ARR00-C,mosquitto,src/handle_connect.c,81,FP,"clientid is declared as `char *clientid` and assigned via mosquitto_calloc, i.e. heap memory, not a local array; returning it is not a dangling-pointer bug.",delta_arr00_02_task545,high
INT30-C,mosquitto,lib/http_client.c,129,FP,"hlen is strlen() of a buffer that is only ever filled up to http_header_size bytes across prior net__read calls bounded by the same remaining-space subtraction, so hlen never exceeds http_header_size and the subtraction cannot wrap.",delta_int30_task545,high
INT30-C,mosquitto,lib/http_client.c,148,FP,"read_length returned by net__read is bounded by the (size_t)http_header_size-hlen argument just passed to it, so hlen += read_length cannot exceed the allocated buffer (http_header_size+1) and cannot wrap.",delta_int30_task545,high
INT30-C,mosquitto,lib/socks_mosq.c,337,FP,"len is checked len>0 and net__read is called with exactly to_process as the max length, so pos += (uint32_t)len only ever advances by at most the remaining bytes in a small fixed SOCKS handshake buffer.",delta_int30_task545,high
INT30-C,mosquitto,lib/socks_mosq.c,338,FP,"len is bounded above by to_process (the same value passed as the read length), so to_process -= (uint32_t)len cannot underflow.",delta_int30_task545,high
INT30-C,mosquitto,lib/socks_mosq.c,364,FP,"Same read-loop invariant as line 337 (len<=to_process via net__read's length argument, len>0 checked), pos += len cannot wrap.",delta_int30_task545,high
INT30-C,mosquitto,lib/socks_mosq.c,365,FP,"Same read-loop invariant as line 338, to_process -= len cannot underflow since len is bounded by to_process.",delta_int30_task545,high
INT30-C,mosquitto,lib/socks_mosq.c,385,FP,Same read-loop invariant as line 337 in the socks5_request state handling; len is bounded by to_process so pos += len is safe.,delta_int30_task545,high
INT30-C,mosquitto,lib/socks_mosq.c,386,FP,Same read-loop invariant as line 338; to_process -= len cannot underflow.,delta_int30_task545,high
INT30-C,mosquitto,src/conf.c,1072,FP,address_count is incremented one bridge address per config-file token during local config parsing; reaching SIZE_MAX/sizeof(struct bridge_address) entries from a text config file is not practically achievable.,delta_int30_task545,medium
INT30-C,mosquitto,src/conf.c,1165,FP,option_count is incremented one plugin_opt_ line per local config file parse; the multiplication cannot realistically wrap given config-file-driven growth.,delta_int30_task545,medium
INT30-C,mosquitto,src/conf.c,1717,FP,bridge_count grows one 'connection' block per local config file; wrapping (size_t)(bridge_count+1)*sizeof(...) is not reachable from realistic config input.,delta_int30_task545,medium
INT30-C,mosquitto,src/conf.c,1835,FP,strlen(http_dir_canonical) is a filesystem path length (bounded by OS path limits) plus a small constant sizeof(sep); wrapping would require a multi-exabyte path string.,delta_int30_task545,high
INT30-C,mosquitto,src/conf.c,2739,FP,"strlen(token) + tlen are lengths of a single config-file topic token/quoted string parsed from one line of text; wrapping requires strings near SIZE_MAX, not reachable from config parsing.",delta_int30_task545,high
INT30-C,mosquitto,src/conf.c,2906,FP,ws_origin_count increments once per 'websockets_origin' config line during local config parsing; the multiplication cannot realistically wrap.,delta_int30_task545,medium
MEM12-C,mosquitto,lib/net_mosq.c,1220,FP,"Success path inside the WIN32-only net__socketpair branch: listensock was already closed at COMPAT_CLOSE(listensock) on the line just above, and spR/spW are handed out via *pairR/*pairW (ownership transferred to caller).",delta_mem12_task545,high
MEM12-C,mosquitto,lib/net_mosq.c,1222,FP,"This is the loop-exhausted fallthrough return MOSQ_ERR_UNKNOWN; every loop iteration's continue path closes listensock/spR/spW via COMPAT_CLOSE before continuing, so nothing is live when the loop ends.",delta_mem12_task545,high
MEM12-C,mosquitto,lib/net_mosq.c,1230,FP,"This return is in the #else (non-WIN32) branch of net__socketpair which uses local variable sv[], not listensock/spR at all -- those names only exist in the #ifdef WIN32 branch above, and socketpair() itself failed here so sv was never populated.",delta_mem12_task545,high
MEM12-C,mosquitto,lib/net_mosq.c,1234,FP,"Same non-WIN32 #else branch; sv[1] is explicitly closed via COMPAT_CLOSE(sv[1]) on the line immediately above this return, and listensock/spR are not in scope in this branch.",delta_mem12_task545,high
MEM12-C,mosquitto,lib/net_mosq.c,1238,FP,"Same non-WIN32 #else branch; sv[0] is explicitly closed via COMPAT_CLOSE(sv[0]) on the line immediately above this return, and listensock/spR are not in scope in this branch.",delta_mem12_task545,high
MEM12-C,mosquitto,lib/net_mosq.c,1242,FP,"Success return in the non-WIN32 branch; sv[0]/sv[1] are handed out via *pairR/*pairW, and listensock/spR are not in scope in this branch at all.",delta_mem12_task545,high
MEM12-C,mosquitto,lib/net_mosq.c,340,FP,"hints calloc failed (NULL) so nothing was allocated there and mosq->adns was just freed via mosquitto_FREE(mosq->adns) on the immediately preceding line, so neither named resource is live at this return.",delta_mem12_task545,high
MEM12-C,mosquitto,lib/net_mosq.c,357,FP,"getaddrinfo_a failed and the preceding if(mosq->adns) block frees both ar_request (the hints pointer, stored at mosq->adns->ar_request) and mosq->adns via mosquitto_FREE before this return.",delta_mem12_task545,high
MEM12-C,mosquitto,lib/net_mosq.c,360,FP,"This is the success return; mosq->adns and hints (stored as mosq->adns->ar_request) are intentionally retained in the mosquitto struct for use by net__try_connect_step2, so ownership is transferred to mosq, not leaked.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_connect.c,429,FP,"Success return: *will = will_struct; transfers ownership of will_struct (and its aliased will_topic_mount/payload fields) to the caller via the out-parameter, so nothing is leaked.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_connect.c,438,FP,"This is the error_cleanup: label itself, which frees will_struct->msg.topic (will_topic_mount is aliased into msg.topic at line 384), will_struct->msg.payload, will_struct->properties, and will_struct before returning -- it already implements the exact goto-chain cleanup the checker recommends.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,342,FP,"db__msg_store_free(base_msg) is called on the line immediately above, which frees base_msg->data.topic (topic_mount is aliased there) and base_msg itself; topic_mount's malloc had just failed (NULL) so nothing else was allocated.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,354,FP,"process_bad_message(context, base_msg, ...) takes ownership of base_msg and internally calls db__msg_store_free(base_msg), which frees base_msg->data.topic (topic_mount aliased) and base_msg itself.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,359,FP,db__msg_store_free(base_msg) on the preceding line frees base_msg->data.topic (topic_mount aliased) and base_msg; payload's malloc had just failed (NULL) so nothing else was allocated on this path.,delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,366,FP,"db__msg_store_free(base_msg) on the preceding line frees base_msg->data.topic (topic_mount aliased), base_msg->data.payload, and base_msg itself (see database.c db__msg_store_free).",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,380,FP,"process_bad_message(context, base_msg, ...) takes ownership and calls db__msg_store_free(base_msg) internally, freeing topic (topic_mount aliased), payload, and base_msg.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,383,FP,"db__msg_store_free(base_msg) on the preceding line frees base_msg->data.topic (topic_mount aliased), base_msg->data.payload, and base_msg itself.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,392,FP,"db__msg_store_free(base_msg) is called on the immediately preceding line, freeing topic (topic_mount aliased), payload, and base_msg before this return.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,394,FP,"process_bad_message(context, base_msg, ...) (the WITH_CONTROL-undefined branch) takes ownership and internally calls db__msg_store_free(base_msg), freeing topic (topic_mount aliased), payload, and base_msg.",delta_mem12_task545,high
MEM12-C,mosquitto,src/handle_publish.c,398,FP,"handle__accepted_publish(context, base_msg, ...) takes ownership of base_msg (it either frees it via its own process_bad_message/db__msg_store_free calls or stores it), so this is an ownership transfer, not a leak.",delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,1002,FP,"This is the function's success return; sock is intentionally retained via listener->socks (ownership transferred to the listener struct), not a local leak.",delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,861,FP,"sock is explicitly closed via COMPAT_CLOSE(sock) on the preceding line, and listener->socks was just set to NULL by the failed mosquitto_realloc call itself, so there is no live pointer under that name to free at this return.",delta_mem12_task545,medium
MEM12-C,mosquitto,src/net.c,878,FP,"net__socket_nonblock(&sock) already closes the socket and sets it to INVALID_SOCKET internally on failure (see its COMPAT_CLOSE(*sock) in net_mosq.c), and listener->socks is explicitly freed via mosquitto_FREE(listener->socks) on the line above.",delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,891,TP,"After net__bind_interface fails with MOSQ_ERR_NOT_FOUND/INVAL, sock is closed but listener->socks (the realloc'd array already holding this and any prior successfully-opened socket fds) is never freed or its sockets closed before this return, unlike every sibling error path in this function (878/910/918/926) which does call mosquitto_FREE(listener->socks).",delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,911,FP,Both COMPAT_CLOSE(sock) and mosquitto_FREE(listener->socks) are called on the two lines immediately above this return after bind() fails.,delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,919,FP,Both freeaddrinfo(ainfo)/COMPAT_CLOSE(sock) and mosquitto_FREE(listener->socks) are called on the lines immediately above this return after listen() fails.,delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,927,FP,"mosquitto_FREE(listener->socks) is called on the line immediately above this return, and no local sock is left open at this point (every loop iteration reaching this point either stored a socket successfully or closed it before continue).",delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,931,FP,"This is the function's success return; listener->socks is intentionally retained as the listener's socket array (ownership transferred to the listener struct), not a local leak.",delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,975,FP,"sock is explicitly closed via COMPAT_CLOSE(sock) on the preceding line, and listener->socks was just set to NULL by the failed mosquitto_realloc call itself (this is the first and only socket in net__socket_listen_unix, so nothing was previously allocated).",delta_mem12_task545,medium
MEM12-C,mosquitto,src/net.c,990,TP,"After bind() fails on the unix-domain socket, the function returns 1 without ever closing sock or freeing listener->socks (which already holds sock at listener->socks[listener->sock_count-1]), unlike the sibling failure at line 975 which does close/null the socket -- a genuine fd and buffer leak.",delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,995,TP,"After listen() fails on the unix-domain socket, the function returns 1 without closing sock or freeing listener->socks, which already holds the open sock fd -- a genuine fd and buffer leak.",delta_mem12_task545,high
MEM12-C,mosquitto,src/net.c,999,TP,"net__socket_nonblock(&sock) closes sock internally on failure, but listener->socks (the heap array holding that fd's slot, allocated via mosquitto_realloc) is never freed before this return, unlike every failure path in the sibling net__socket_listen_tcp which does free it.",delta_mem12_task545,medium
MEM12-C,mosquitto,src/subs.c,256,FP,"sub__remove_shared_leaf(subhier, shared, newleaf) and mosquitto_FREE(newleaf) are called on the two lines above; shared is only freed there if it has no other subs left (otherwise it's still owned by subhier->shared hash table), and subs is NULL because the mosquitto_realloc call that produced it had just failed.",delta_mem12_task545,high
MEM12-C,mosquitto,src/subs.c,269,FP,"shared is stored into subhier->shared (hash table) and newleaf->shared, remaining reachable/owned by those structures; subs (if reallocated) was assigned to context->subs at line 258 transferring ownership, so neither is a local leak on this return.",delta_mem12_task545,high
MEM12-C,mosquitto,src/subs.c,273,FP,"Same success-path reasoning as line 269: shared is owned by subhier->shared and newleaf->shared, and subs (if reallocated) was already stored into context->subs, so nothing local is leaked.",delta_mem12_task545,high
WIN04-C,mosquitto,libmosquittopp.h,100,FP,"libmosquittopp.h line 100 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,102,FP,"libmosquittopp.h line 102 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,103,FP,"libmosquittopp.h line 103 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,106,FP,"libmosquittopp.h line 106 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,112,FP,"libmosquittopp.h line 112 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,113,FP,"libmosquittopp.h line 113 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,114,FP,"libmosquittopp.h line 114 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,115,FP,"libmosquittopp.h line 115 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,122,FP,"libmosquittopp.h line 122 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,123,FP,"libmosquittopp.h line 123 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,124,FP,"libmosquittopp.h line 124 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,126,FP,"libmosquittopp.h line 126 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,132,FP,"libmosquittopp.h line 132 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,134,FP,"libmosquittopp.h line 134 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,135,FP,"libmosquittopp.h line 135 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,136,FP,"libmosquittopp.h line 136 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,138,FP,"libmosquittopp.h line 138 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,140,FP,"libmosquittopp.h line 140 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
WIN04-C,mosquitto,libmosquittopp.h,141,FP,"libmosquittopp.h line 141 is a C++ declaration-only prototype/default-argument line (no function body, no assignment/storage of any kind); the vast majority of the 68 raw findings in this file don't even contain a function-pointer-typed token on the flagged line at all (e.g. plain 'int port=1883' or 'const char *username=NULL' default args) -- the checker is misattributing WIN04-C's 'function pointer stored' finding across essentially every declaration line in this header, not just the two genuine function-pointer parameters (subscribe_callback's callback, tls_set's pw_callback), and even those are parameters in a call signature, never actually stored/persisted anywhere.",delta_win04_task545,high
