rule,project,file,line,verdict,reason,provenance,confidence
MSC01-C,lua,lauxlib.c,1095,FP,"checkcontrol's if/else-if handles known control strings 'off'/'on'; the comment explicitly says to 'ignore it if unknown', so the absent else is the documented intended behavior.",delta_msc01_task535,high
MSC01-C,lua,lauxlib.c,1198,FP,"luaL_checkversion_'s two branches both call luaL_error (which never returns via longjmp); falling through with no else simply means the version check passed, which is correct.",delta_msc01_task535,high
MSC01-C,lua,lauxlib.c,57,FP,"findfield's if/else-if only decides whether to return 1 on a match; the unconditional lua_pop(L,1) after the block (line 65) always runs regardless, so no case is left unhandled.",delta_msc01_task535,high
MSC01-C,lua,lbaselib.c,384,FP,"generic_reader's else-if calls luaL_error (never returns) when the value isn't nil or a string; when it is a string, control falls to the return statement after the chain, which is the intended success path.",delta_msc01_task535,high
MSC01-C,lua,lbaselib.c,450,FP,"luaB_select clamps i<0 or i>n; when i is already in [0,n] no adjustment is needed, so the missing else is the correct no-op case.",delta_msc01_task535,high
MSC01-C,lua,lbaselib.c,66,FP,"b_str2int's if(-)/else if(+) is a sign-prefix check; no sign present is handled correctly by doing nothing (positive, no advance), a standard idiom.",delta_msc01_task535,high
MSC01-C,lua,lcode.c,799,FP,"luaK_setoneret's comment states explicitly that if the expression is not VCALL or VVARARG it 'already returns 1 result, so nothing needs to be done'; documented no-op.",delta_msc01_task535,high
MSC01-C,lua,ldblib.c,70,FP,db_getuservalue falls through to 'return 1' whether luaL_pushfail or getiuservalue's implicit push handled the value; no case is left without a pushed result.,delta_msc01_task535,high
MSC01-C,lua,ldebug.c,574,FP,"getobjname's else-if guards a switch with 'default: break' that falls to 'return NULL' after the switch; the lastpc==-1 case also falls to the same final return NULL, so every path is handled.",delta_msc01_task535,high
MSC01-C,lua,ldebug.c,917,FP,luaG_tracecall's if/else-if both fall through to the unconditional 'return 1' at the end of the function; no unhandled case.,delta_msc01_task535,high
MSC01-C,lua,ldebug.c,950,FP,"luaG_traceexec's else-if 'return 1' only short-circuits the no-line-hook case; when it's false, control simply continues into the rest of the function body, which is the intended flow.",delta_msc01_task535,high
MSC01-C,lua,ldo.c,372,FP,luaD_growstack's else-if guards the normal-growth path; falling through when n>=MAXSTACK reaches the explicitly labeled 'else stack overflow' handling code right after the if/else-if.,delta_msc01_task535,high
MSC01-C,lua,ldo.c,975,FP,"lua_resume's inner if/else-if (already-running / dead-coroutine checks) falls through to normal resume processing when neither error condition holds, which is the correct 'ok to resume' path.",delta_msc01_task535,high
MSC01-C,lua,ldo.c,978,FP,"lua_resume's outer if(status==OK)/else-if(status!=YIELD) falls through to normal resume handling when status==YIELD, which is exactly the state resume is meant to continue from.",delta_msc01_task535,high
MSC01-C,lua,lgc.c,475,FP,genlink's comment states explicitly '/* everything else do not need to be linked back */' for the case neither TOUCHED1 nor TOUCHED2 holds; documented no-op.,delta_msc01_task535,high
MSC01-C,lua,lgc.c,558,FP,"traverseephemeron's inner else-if (valiswhite) only needs to mark an unmarked value; if the value is already marked, no action is required, which is correct default behavior in a loop that continues to the next entry.",delta_msc01_task535,high
MSC01-C,lua,lgc.c,956,FP,"udata2finalize's if/else-if perform optional bookkeeping (whiten if sweeping, track first OLD1 object); when neither applies, no extra bookkeeping is needed and the function still returns the object correctly.",delta_msc01_task535,high
MSC01-C,lua,linit.c,55,FP,"luaL_openselectedlibs's if/else-if only act when a library's load or preload bit is set in the mask; when neither bit is set for that lib, correctly skipping it is the intended behavior.",delta_msc01_task535,high
MSC01-C,lua,llex.c,504,FP,"The '[' case's else-if only raises an error for a malformed '[=' delimiter (sep==0); when sep==1 (a lone '['), control falls to the unconditional 'return \\'[\\'' right after, which is the documented 'simply \\'[\\'' case.",delta_msc01_task535,high
MSC01-C,lua,loadlib.c,446,FP,"getnextfilename's else-if only restores a separator character left over from a previous iteration; when that's not needed, falling through to the strchr-based parsing below is the normal path.",delta_msc01_task535,high
MSC01-C,lua,lobject.c,206,FP,"isneg's if(-)/else if(+) is a sign-prefix check; absence of a sign character correctly falls through to 'return 0' (positive), a standard idiom.",delta_msc01_task535,high
MSC01-C,lua,loslib.c,261,FP,"getfield's inner if/else-if raise errors only for a wrong-typed or missing-with-no-default field; when the field is absent but a default exists, control falls through to 'res = d;', the intended default-substitution path.",delta_msc01_task535,high
MSC01-C,lua,loslib.c,282,FP,"checkoption's for-loop else-if only fires on a match; when neither the '|' separator nor a match is found, the loop simply continues scanning subsequent options, which is correct.",delta_msc01_task535,high
MSC01-C,lua,lparser.c,428,FP,"searchvar's else-if only invalidates a preambular global declaration on a name mismatch when one was active; when var->u.info isn't -1, doing nothing and continuing the scan loop is correct.",delta_msc01_task535,high
MSC01-C,lua,lparser.c,432,FP,"searchvar's else-if only fires when the current slot is a plain local matching the name; when it doesn't match, the for-loop simply continues to the next outer scope slot, which is correct.",delta_msc01_task535,high
MSC01-C,lua,lstate.c,139,FP,"luaE_checkcstack's if/else-if raise an error only at or near the C-call limit; when well under the limit, doing nothing and returning normally is the intended common case.",delta_msc01_task535,high
MSC01-C,lua,lstrlib.c,1074,FP,"lua_number2strx's else-if only errors when the format modifier isn't 'a'/'A'; when it's the lowercase 'a' case, falling through to 'return n' with the buffer left as-is is correct (no uppercase conversion needed).",delta_msc01_task535,high
MSC01-C,lua,lstrlib.c,1636,FP,"str_pack's switch(opt) exhaustively lists every value of the KOption enum (Kint, Kuint, Kfloat, Knumber, Kdouble, Kchar, Kstring, Kzstr, Kpadding, Kpaddalign, Knop); there is no unhandled enum value reachable, so a default label is unnecessary.",delta_msc01_task535,high
MSC01-C,lua,lstrlib.c,1767,FP,"unpackint's if(size<SZINT)/else if(size>SZINT) both perform size-mismatch corrections; when size==SZINT exactly, no correction is needed and falling through to 'return (lua_Integer)res' is correct.",delta_msc01_task535,high
MSC01-C,lua,lstrlib.c,466,FP,"matchbracketclass's else-if chain is scanning a character class inside a while loop; when neither escape, range, nor literal match fires for the current position, the loop just continues to the next pattern item, which is correct.",delta_msc01_task535,high
MSC01-C,lua,lstrlib.c,501,FP,"matchbalance's else-if increments a balance counter inside its scanning while loop; when the current char is neither the end nor begin balance char, the loop simply continues, which is correct.",delta_msc01_task535,high
MSC01-C,lua,lstrlib.c,717,FP,"get_onecapture's else-if only raises an error (unfinished capture) or pushes a position value; for an ordinary finished string capture, control falls through to 'return capl', which is the correct normal-case return.",delta_msc01_task535,high
MSC01-C,lua,ltable.c,1103,FP,luaH_psetshortstr's if/else-if handle the fast-path update/insert cases; the comment right after explicitly documents the fallthrough case ('either table has new-index metamethod... return a code for the caller') which is handled by the unconditional 'return retpsetcode' following the block.,delta_msc01_task535,high
MSC01-C,lua,ltable.c,1168,FP,luaH_finishset's inner else-if only sign-extends/NaN-checks a float key that fails the integral-value conversion; a normal finite non-integral float key correctly needs no extra handling and keeps the default actk already set.,delta_msc01_task535,high
MSC01-C,lua,ltable.c,1171,FP,"luaH_finishset's outer else-if chain (nil key / float key / external-string key) falls through to the unconditional 'luaH_newkey(L, t, actk, value)' for an ordinary key, which is the correct default insertion path.",delta_msc01_task535,high
MSC01-C,lua,ltm.c,302,FP,luaT_getvararg's if/else-if both return early on success; the comment '/* else produce nil */' documents the fallthrough to 'setnilvalue2s(ra)' right after the chain as the intended default.,delta_msc01_task535,high
MSC01-C,lua,lua.c,362,FP,"runargs's switch(option) only needs to act on 'e'/'l'/'W'; every other option character reaching this point ('i','v','E') was already validated earlier in collectargs (which has its own default:return has_error for truly invalid options) and is handled via flags elsewhere, so no default is needed here.",delta_msc01_task535,high
MSC01-C,lua,lua.c,765,FP,The main-flow if(has_i)/else-if(no active option) chain falls through when a script or -e/-v option already ran; nothing further is required since the requested action already executed earlier in the function.,delta_msc01_task535,high
MSC01-C,lua,lundump.c,401,FP,"luaU_undump's if/else-if only strip a leading '@'/'=' or replace a binary signature byte for display naming; when neither applies, leaving 'name' unchanged is the correct default.",delta_msc01_task535,high
MSC01-C,lua,lvm.c,130,FP,"luaV_flttointeger's inner if(F2Ieq)/else if(F2Iceil) adjust for two of three rounding modes; for the remaining F2Ifloor mode, using the already-computed floor value unchanged (falling through) is exactly correct.",delta_msc01_task535,high
MSC01-C,lua,lvm.c,1844,FP,"OP_FORLOOP's if(integer loop)/else if(floatforloop jumps back) correctly does nothing (falls through to vmbreak) when the float loop has finished iterating, which is the intended loop-termination behavior.",delta_msc01_task535,high
MSC01-C,lua,lvm.c,405,FP,"l_strcmp's else-if only returns when one of the two segments has ended; when both segments continue past the embedded NUL, the code falls through to advance past it and keep comparing, which is correct.",delta_msc01_task535,high
MSC01-C,lua,lvm.c,627,FP,"luaV_equalobj's userdata case only returns early on pointer-equal or L==NULL; the metamethod-lookup statements right after the if/else-if run unconditionally otherwise, so the 'else' logic is written as fallthrough code rather than a literal else block, not an unhandled case.",delta_msc01_task535,high
MSC01-C,lua,lvm.c,635,FP,"luaV_equalobj's table case follows the same pattern as the userdata case: unconditional metamethod-lookup code after the if/else-if handles the remaining case, not an omitted else.",delta_msc01_task535,high
