rule,project,file,line,verdict,reason,provenance,confidence
CON03-C,mosquitto,lib/net_mosq.c,87,TP,"is_tls_initialized is a plain bool one-time-init guard read/written in net__init_tls()/net__cleanup(), reachable from net__init_ssl_ctx() during per-connection TLS setup, which multiple libmosquitto client instances each running their own loop thread (spawned via mosquitto_loop_start/thread_mosq.c) can invoke concurrently with no lock or atomic.",delta_con03_task547,medium
CON03-C,mosquitto,src/net.c,72,FP,"tls_ex_index_context is set once during broker TLS init (net__init_tls/handle_connect) and the broker's accept/event loop (mux_poll/epoll/kqueue) is single-threaded with no pthread_create anywhere in src/, so there is no concurrent writer.",delta_con03_task547,medium
CON03-C,mosquitto,src/net.c,73,FP,tls_ex_index_listener follows the same single broker-thread initialization pattern as tls_ex_index_context on the preceding line; no pthread_create exists in src/*.c.,delta_con03_task547,medium
CON03-C,mosquitto,src/net.c,79,FP,"spare_sock is only touched from net__broker_init/net__broker_cleanup and net__socket_accept, all invoked from the broker's single-threaded mux_poll/mux_epoll/mux_kqueue accept loop; the broker process spawns no pthreads.",delta_con03_task547,medium
CON03-C,mosquitto,src/persist_read.c,42,FP,"base_msg_count is incremented only during the single-threaded persistence-file restore path (persist__read_*, invoked once at broker startup before the event loop runs) and reset/logged from the same non-concurrent flow.",delta_con03_task547,medium
CON03-C,mosquitto,src/persist_read.c,43,FP,retained_count follows the same single-threaded startup persistence-restore pattern as base_msg_count.,delta_con03_task547,medium
CON03-C,mosquitto,src/persist_read.c,44,FP,client_count follows the same single-threaded startup persistence-restore pattern as base_msg_count.,delta_con03_task547,medium
CON03-C,mosquitto,src/persist_read.c,45,FP,subscription_count follows the same single-threaded startup persistence-restore pattern as base_msg_count.,delta_con03_task547,medium
CON03-C,mosquitto,src/persist_read.c,46,FP,client_msg_count follows the same single-threaded startup persistence-restore pattern as base_msg_count.,delta_con03_task547,medium
CON03-C,mosquitto,src/signals.c,36,TP,"flag_reload is set inside the SIGHUP handle_signal() signal handler and polled in the main loop without being declared volatile sig_atomic_t, so the classic signal-handler-flag visibility concern applies even though functionally the idiom usually works.",delta_con03_task547,medium
CON03-C,mosquitto,src/signals.c,37,TP,"flag_log_rotate is set inside the SIGRTMIN handle_signal() signal handler and polled in the main loop without volatile/sig_atomic_t, same signal-flag pattern as flag_reload.",delta_con03_task547,medium
CON03-C,mosquitto,src/signals.c,39,TP,"flag_db_backup is set inside the SIGUSR1 handle_signal() signal handler and polled in the main loop without volatile/sig_atomic_t, same signal-flag pattern as flag_reload.",delta_con03_task547,medium
CON03-C,mosquitto,src/signals.c,41,TP,"flag_tree_print is set inside the SIGUSR2 handle_signal() signal handler and polled in the main loop without volatile/sig_atomic_t, same signal-flag pattern as flag_reload.",delta_con03_task547,medium
CON03-C,mosquitto,src/signals.c,42,TP,"flag_xtreport is set inside the SIGUSR2 handle_signal() signal handler and polled in the main loop without volatile/sig_atomic_t, same signal-flag pattern as flag_reload.",delta_con03_task547,medium
CON03-C,mosquitto,src/subs.c,64,FP,"hashv_plus is computed once via HASH_VALUE inside sub__init(), called exactly once from database.c:204 at broker startup before the event loop runs, then only read by HASH_FIND_BYHASHVALUE in the single-threaded broker.",delta_con03_task547,medium
CON03-C,mosquitto,src/subs.c,65,FP,"hashv_hash follows the same write-once-at-startup, read-only-afterward pattern as hashv_plus.",delta_con03_task547,medium
DCL19-C,mosquitto,src/handle_publish.c,67,TP,handle__accepted_publish has no cross-file references (only self-file definition and one call site within handle_publish.c); not declared in any header,delta_dcl19_task547,high
DCL31-C,mosquitto,include/mosquitto/libmosquittopp.h,94,FP,"Line 94 is a C++ constructor declaration (mosquittopp(const char *id=NULL, bool clean_session=true);) inside class mosquittopp; C++ constructors have no return type by syntax rule, not a missing type specifier -- the checker is misparsing valid C++ class-member declaration syntax as a C-style implicit-int declaration. Same libmosquittopp.h file already flagged for related C++-header-parsing bugs in tasks 556/558/564/566.",delta_dcl31_task547,high
