rule,idx,project,file,line,verdict,reason,provenance,confidence
API02-C,0,sqlite,ext/misc/vfslog.c,106,FP,vlogCheckReservedLock sig fixed by sqlite3_io_methods xCheckReservedLock typedef; pResOut is single out-int not array,,high
API02-C,1,sqlite,ext/misc/vfslog.c,117,FP,vlogFullPathname sig fixed by sqlite3_vfs xFullPathname typedef; nOut size is the int param already present,,high
API02-C,2,sqlite,ext/misc/vfslog.c,119,FP,vlogDlError sig fixed by sqlite3_vfs xDlError typedef; nByte is the size param,,high
API02-C,3,sqlite,ext/misc/vfslog.c,122,FP,vlogRandomness sig fixed by sqlite3_vfs xRandomness typedef; nByte is the size param,,high
CON03-C,4,sqlite,ext/misc/vfslog.c,128,FP,vlog_vfs is a static singleton initialized once at register time then read-only; CON03 misfire on VFS table,,high
CON03-C,5,sqlite,ext/misc/vfslog.c,153,FP,vlog_io_methods is a static const-style method table assigned once; not a mutable shared var,,high
INT30-C,6,sqlite,ext/misc/vfslog.c,178,FP,sTime fields from gettimeofday produce a microsecond timestamp; wrap is irrelevant and value never used as a bound,,high
INT30-C,7,sqlite,ext/misc/vfslog.c,178,FP,"tv_sec*1000000 is a timestamp computation in u64; no security-relevant overflow, result only logged",,high
INT14-C,8,sqlite,ext/misc/vfslog.c,189,FP,INT14 readability heuristic on u64time shift+or building a FILETIME; not a defect,,high
INT30-C,9,sqlite,ext/misc/vfslog.c,190,FP,u64time<<=32 deliberately places high dword of FILETIME; intended bit packing not overflow,,high
DCL13-C,10,sqlite,ext/misc/vfslog.c,207,TP,vlogLogPrint is a static helper (not typedef-bound) and pLog struct fields are only read; const VLogLog* compiles since fprintf takes the FILE* by value not the struct,,med
EXP33-C,11,sqlite,ext/misc/vfslog.c,219,FP,z1 fully initialized in both if/else branches (snprintf or z1[0]=0) before %s use at 233,,high
EXP33-C,12,sqlite,ext/misc/vfslog.c,224,FP,z2 fully initialized in both branches before use at 233,,high
EXP33-C,13,sqlite,ext/misc/vfslog.c,229,FP,z3 fully initialized in both branches before use at 233,,high
INT30-C,14,sqlite,ext/misc/vfslog.c,229,FP,sizeof(z3)-4 is 2000-4=1996 compile-time constant passed as precision; no runtime wrap,,high
FIO47-C,15,sqlite,ext/misc/vfslog.c,233,FP,z1 is char[40] array matching %s; sqc misreads array as integer,,high
FIO47-C,16,sqlite,ext/misc/vfslog.c,233,FP,z2 is char[40] array matching %s; sqc misreads array as integer,,high
FIO47-C,17,sqlite,ext/misc/vfslog.c,233,FP,z3 is char[2000] array matching %s; sqc misreads array as integer,,high
INT00-C,18,sqlite,ext/misc/vfslog.c,233,FP,%lld with sqlite3_int64 (i64) is correct per SQLite portable types; not a data-model violation,,high
INT00-C,19,sqlite,ext/misc/vfslog.c,233,FP,same as 18; %lld matches sqlite3_int64 argument,,high
PRE32-C,20,sqlite,ext/misc/vfslog.c,233,FP,no preprocessor directive in fprintf args; sqc misreads multi-line format string continuation,,high
DCL11-C,21,sqlite,ext/misc/vfslog.c,234,FP,sqlite3_int64 is long long on all SQLite targets; %lld matches,,high
DCL11-C,22,sqlite,ext/misc/vfslog.c,234,FP,argument 4 is pLog->zFilename==0 a boolean int comparison matching %d; not char*,,high
CON03-C,23,sqlite,ext/misc/vfslog.c,240,FP,allLogs is guarded by SQLITE_MUTEX_STATIC_MASTER in all mutating paths; CON03 misfire,,high
INT32-C,24,sqlite,ext/misc/vfslog.c,248,FP,"p->nRef-- guarded by if(p) and refcount logic; nRef bounded by paired ++ in vlogLogOpen, cannot reach INT_MIN",,high
MEM31-C,25,sqlite,ext/misc/vfslog.c,250,FP,sqlite3_mutex_alloc(STATIC_MASTER) returns a static mutex that must NOT be freed; no leak,,high
ERR00-C,26,sqlite,ext/misc/vfslog.c,255,FP,fclose return ignored on a log file close path; benign best-effort logging not error-critical,,high
