rule,project,file,line,verdict,reason,provenance,confidence
DCL15-C,sqlite,ext/misc/series.c,921,FP,"sqlite3_series_init is a Tcl/shell extension entry point called from shell.c.in and referenced via extern declaration in test1.c's Tcl command registration table, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/backup.c,140,FP,"sqlite3_backup_init is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/backup.c,314,FP,"sqlite3_backup_step is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/backup.c,571,FP,"sqlite3_backup_finish is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/backup.c,625,FP,"sqlite3_backup_remaining is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/backup.c,639,FP,"sqlite3_backup_pagecount is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/func.c,861,FP,"sqlite3_strglob is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/func.c,875,FP,"sqlite3_strlike is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/legacy.c,30,FP,"sqlite3_exec is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
DCL15-C,sqlite,src/main.c,106,FP,"sqlite3_sourceid is a documented public SQLite C API function declared in src/sqlite.h.in (source of the generated sqlite3.h) and used across the codebase/shell, so it needs external linkage",delta_dcl15_task542,high
