rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR00-C,0,sqlite,ext/fts5/fts5_storage.c,99,FP,eStmt bounded by assert( eStmt>=0 && eStmt<ArraySize(p->aStmt) ) at line 98,,high
ARR02-C,1,sqlite,ext/fts5/fts5_storage.c,100,FP,azStmt[] size fixed by initializer and validated by assert(ArraySize(azStmt)==ArraySize(p->aStmt)); stylistic misfire,,high
INT32-C,2,sqlite,ext/fts5/fts5_storage.c,158,FP,"i bounded by loop i<nCol+1; nCol is schema column count (<=32767), i-1 cannot overflow",,high
EXP34-C,3,sqlite,ext/fts5/fts5_storage.c,159,FP,"sqlite3Fts5Mprintf is the fts5 OOM idiom: takes &rc, %z accepts NULL zBind intentionally (zBind?',':'' guards)",,high
INT32-C,4,sqlite,ext/fts5/fts5_storage.c,159,FP,"i+1 bounded by nCol+1; small schema column count, no overflow",,high
EXP34-C,5,sqlite,ext/fts5/fts5_storage.c,168,FP,same %z mprintf idiom; zBind NULL on first iteration is expected and handled,,high
INT32-C,6,sqlite,ext/fts5/fts5_storage.c,168,FP,"pC->nCol+i+2 bounded by ~2*nCol; nCol<=SQLITE_MAX_COLUMN, no overflow",,high
INT32-C,7,sqlite,ext/fts5/fts5_storage.c,168,FP,"pC->nCol+i bounded by ~2*nCol; small, no overflow",,high
EXP34-C,8,sqlite,ext/fts5/fts5_storage.c,173,FP,sqlite3Fts5Mprintf checks rc internally; zBind NULL fine for %s/%z; result feeds %s arg,,high
INT32-C,9,sqlite,ext/fts5/fts5_storage.c,201,FP,"bLock is a balanced ++/-- statement-prep guard, not attacker-driven to INT_MAX",,high
ARR00-C,10,sqlite,ext/fts5/fts5_storage.c,202,FP,same assert at 98 bounds eStmt; index into p->aStmt[12] safe,,high
INT32-C,11,sqlite,ext/fts5/fts5_storage.c,203,FP,bLock-- balanced against ++ at 201; cannot underflow,,high
STR34-C,12,sqlite,ext/fts5/fts5_storage.c,206,FP,*pzErrMsg is char* assignment target of sqlite3_mprintf result; no char-to-int sign extension,,high
ARR00-C,13,sqlite,ext/fts5/fts5_storage.c,216,FP,p->aStmt[eStmt] bounded by assert(eStmt>=0 && eStmt<ArraySize) at function entry; same class as 99/202,,high
API00-C,14,sqlite,ext/fts5/fts5_storage.c,250,FP,"sqlite3Fts5DropAll internal API; pConfig is trusted Fts5Config from FTS5 vtab, never untrusted",,high
DCL13-C,15,sqlite,ext/fts5/fts5_storage.c,250,TP,pConfig only read (db/zDb/zName/bColumnsize/eContent); never modified -> const feasible,,med
DCL13-C,16,sqlite,ext/fts5/fts5_storage.c,275,TP,pConfig members only read for ALTER printf; not modified -> const feasible,,med
API00-C,17,sqlite,ext/fts5/fts5_storage.c,288,FP,sqlite3Fts5StorageRename internal; pStorage trusted handle from xRename caller,,high
API00-C,18,sqlite,ext/fts5/fts5_storage.c,288,FP,"zName is new table name passed by SQLite ALTER path; internal trusted, not validated by design",,high
API00-C,19,sqlite,ext/fts5/fts5_storage.c,308,FP,sqlite3Fts5CreateTable internal; pConfig trusted Fts5Config,,high
API00-C,20,sqlite,ext/fts5/fts5_storage.c,308,FP,"pzErr is OUT pointer, dereferenced only on error path; internal caller",,high
DCL13-C,21,sqlite,ext/fts5/fts5_storage.c,309,TP,pConfig members only read for CREATE printf; not modified -> const feasible,,med
EXP34-C,22,sqlite,ext/fts5/fts5_storage.c,318,FP,pConfig is a caller-supplied param; CreateTable callers guarantee non-null config object,,high
STR34-C,23,sqlite,ext/fts5/fts5_storage.c,326,FP,*pzErr is char* assignment target of sqlite3_mprintf; no sign extension,,high
API00-C,24,sqlite,ext/fts5/fts5_storage.c,343,FP,sqlite3Fts5StorageOpen internal constructor; pConfig trusted,,high
API00-C,25,sqlite,ext/fts5/fts5_storage.c,343,FP,pIndex trusted Fts5Index handle from FTS5 init,,high
