rule,project,file,line,verdict,reason,provenance,confidence
MEM31-C,sel4,src/arch/x86/kernel/ept.c,51,FP,generated bitfield-struct constructor (asid_map_asid_map_none_new) returns a value-type struct (e.g. cap_t/seL4_Fault_t/lookup_fault_t/pte_t) by value from generated/*/object/structures_gen.h; it is not a heap allocation and there is nothing to free,task-627-delta,high
MEM31-C,sel4,src/arch/x86/machine/breakpoint.c,626,FP,generated bitfield-struct constructor (seL4_Fault_DebugException_new) returns a value-type struct (e.g. cap_t/seL4_Fault_t/lookup_fault_t/pte_t) by value from generated/*/object/structures_gen.h; it is not a heap allocation and there is nothing to free,task-627-delta,high
MEM31-C,sel4,src/arch/x86/64/kernel/vspace.c,1,FP,"statically-declared global kernel array (e.g. src/arch/*/model/statedata.c) written to in a loop; not heap-allocated, so there is no matching free to find",task-627-delta,high
MEM31-C,sel4,src/arch/riscv/kernel/vspace.c,1070,FP,generated bitfield-struct constructor (lookup_fault_invalid_root_new) returns a value-type struct (e.g. cap_t/seL4_Fault_t/lookup_fault_t/pte_t) by value from generated/*/object/structures_gen.h; it is not a heap allocation and there is nothing to free,task-627-delta,high
MEM31-C,sel4,src/object/cnode.c,184,FP,generated bitfield-struct constructor (lookup_fault_missing_capability_new) returns a value-type struct (e.g. cap_t/seL4_Fault_t/lookup_fault_t/pte_t) by value from generated/*/object/structures_gen.h; it is not a heap allocation and there is nothing to free,task-627-delta,high
MEM31-C,sel4,src/arch/x86/object/objecttype.c,56,FP,generated bitfield-struct constructor (cap_null_cap_new) returns a value-type struct (e.g. cap_t/seL4_Fault_t/lookup_fault_t/pte_t) by value from generated/*/object/structures_gen.h; it is not a heap allocation and there is nothing to free,task-627-delta,high
MEM31-C,sel4,src/arch/x86/64/kernel/vspace.c,150,FP,generated bitfield-struct constructor (pml4e_new) returns a value-type struct (e.g. cap_t/seL4_Fault_t/lookup_fault_t/pte_t) by value from generated/*/object/structures_gen.h; it is not a heap allocation and there is nothing to free,task-627-delta,high
MEM31-C,sel4,src/arch/arm/64/kernel/vspace.c,829,FP,generated bitfield-struct constructor (seL4_Fault_VMFault_new) returns a value-type struct (e.g. cap_t/seL4_Fault_t/lookup_fault_t/pte_t) by value from generated/*/object/structures_gen.h; it is not a heap allocation and there is nothing to free,task-627-delta,high
MEM31-C,sel4,src/arch/arm/64/kernel/vspace.c,1,FP,"statically-declared global kernel array (e.g. src/arch/*/model/statedata.c) written to in a loop; not heap-allocated, so there is no matching free to find",task-627-delta,high
MEM31-C,sel4,src/object/objecttype.c,84,FP,generated bitfield-struct constructor (cap_null_cap_new) returns a value-type struct (e.g. cap_t/seL4_Fault_t/lookup_fault_t/pte_t) by value from generated/*/object/structures_gen.h; it is not a heap allocation and there is nothing to free,task-627-delta,high
