rule,project,file,line,verdict,reason,provenance,confidence
MEM31-C,hostap,hostapd/config_file.c,593,FP,"Classic realloc idiom: nserv checked for NULL then immediately stored into *server on the only success path; no path retains an unreferenced new block.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/config_file.c,1329,FP,"str (aliased to pos) is unconditionally freed via `fail: os_free(str); return ret;` which every path (success and all goto fail) falls through to.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/config_file.c,1347,FP,"ls is checked then stored into *array before use; no path drops the new allocation.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/config_file.c,1364,FP,"os_free(str) runs on every path including the success path that falls through to this return; always freed before return.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/config_file.c,1849,FP,"tmp checked then assigned to bias; on any subsequent goto fail, fail: os_free(bias) frees the current bias (==tmp), and on realloc failure tmp is NULL so nothing new leaks.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,723,FP,"nnames checked then immediately assigned to *if_names; realloc failure leaves *if_names unchanged (NULL not stored), and the fail: block frees *if_names on any subsequent failure.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,920,FP,"tmp_bss checked (case 'b' handler) then immediately assigned to bss_config; NULL realloc result causes goto out without ever being stored.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,978,TP,"bare `return -1;` inside `#ifdef CONFIG_DEBUG_LINUX_TRACING` (trace-enable failure) occurs after the getopt loop where a `-b` option would have populated bss_config via os_realloc_array; this return bypasses the `out:` label (line ~1099) whose `os_free(bss_config)` is the only cleanup for that array, so bss_config leaks if `-b` was used and trace-enable then fails.",delta_mem31_task420,medium
MEM31-C,hostap,hostapd/main.c,978,TP,"Same bare `return -1;` as above; bss_config itself is the leaked allocation, never freed since only the `out:` label frees it and this return skips that label.",delta_mem31_task420,medium
MEM31-C,hostap,hostapd/main.c,989,TP,"bare `return -1;` after `os_calloc` failure for interfaces.iface likewise bypasses the `out:` cleanup label; bss_config populated by an earlier `-b` option is never freed on this path.",delta_mem31_task420,medium
MEM31-C,hostap,hostapd/main.c,989,TP,"Same as above for bss_config: os_free(bss_config) only happens at `out:`, which this return skips.",delta_mem31_task420,medium
MEM31-C,hostap,hostapd/main.c,995,TP,"bare `return -1;` after `hostapd_global_init` failure also bypasses `out:`; same leak mechanism as the two prior early returns.",delta_mem31_task420,medium
MEM31-C,hostap,hostapd/main.c,995,TP,"Same as above for bss_config; not freed since out: cleanup is skipped by this early return.",delta_mem31_task420,medium
MEM31-C,hostap,hostapd/main.c,1012,FP,"This `goto out` reaches the `out:` label, which unconditionally executes `os_free(bss_config)`; no leak.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1012,FP,"Same `out:` cleanup applies regardless of which goto out was taken.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1033,FP,"Same `out:` cleanup (os_free(bss_config)) applies to this goto out.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1033,FP,"Same `out:` cleanup applies.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1050,FP,"Same `out:` cleanup (os_free(bss_config)) applies to this goto out.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1050,FP,"Same `out:` cleanup applies.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1068,FP,"Same `out:` cleanup (os_free(bss_config)) applies; this goto also correctly frees `iface` via hostapd_interface_deinit_free first.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1068,FP,"Same `out:` cleanup applies.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1094,FP,"Same `out:` cleanup (os_free(bss_config)) applies to this goto out.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1094,FP,"Same `out:` cleanup applies.",delta_mem31_task420,high
MEM31-C,hostap,hostapd/main.c,1146,FP,"Line 1146 is the final `return ret;` AFTER the `out:` label has already executed `os_free(bss_config)`; already freed by the time this return executes.",delta_mem31_task420,high
MEM31-C,hostap,radius_example/radius_example.c,57,FP,"msg is checked for NULL then freed on every subsequent failure branch (add_attr User-Name/User-Password/NAS-IP-Address fail, send fail); only success path hands ownership to radius_client_send.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/acs.c,1377,FP,"acs_request_scan is declared `static int acs_request_scan(...)`; err is an int status/error code, not a heap pointer -- no allocation occurs.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/acs.c,1380,FP,"Same misattribution as above -- err is int; the goto fail is normal error-path control flow, nothing to free.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/acs.c,1383,FP,"acs_request_scan returns int; err is not a pointer, so there is no allocation to leak at this return.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/acs.c,1387,FP,"Same as above; int status var, no allocation.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/ap_config.c,1781,FP,"Standard `tmp = os_realloc_array(orig,...); if (!tmp) return -1;` idiom in hostapd_add_acl_maclist; on failure nothing new was allocated, on success `*acl = newacl` transfers ownership to caller's output param.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/ap_config.c,1794,FP,"`return 0` at this line occurs after `*acl = newacl` already stored the pointer into the caller's output parameter -- ownership transferred out, not leaked.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,864,FP,"addr (char*, hostapd_dpp_auth_init) is freed within its own guard block (from-uri or else-if branch) before any later return in the function.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,894,FP,"Return at 894 occurs after addr's free already completed earlier in the function; addr is not re-assigned or leaked here.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,901,FP,"Return at 901 occurs after addr already freed earlier in the function.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,916,FP,"goto fail at 916 is in the role= parsing block, well after addr was already freed earlier.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,948,FP,"goto fail at 948 occurs after dpp_auth_init/dpp_set_configurator, long after addr was already freed.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,968,FP,"Normal-path return of hostapd_dpp_auth_init_next(); addr already freed earlier in the function.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,970,FP,"fail: label return -1; addr already freed earlier in the function.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,1294,FP,"dpp_conf_resp_rx returns plain int; res is declared as a status/int local in hostapd_dpp_gas_resp_cb, not a pointer -- nothing to free.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,1300,FP,"Same function/variable; res is an int status code (checked via res==-3, res<0), no heap allocation involved.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,1305,FP,"goto fail here is a normal status-code control-flow jump; res is int, not a pointer.",delta_mem31_task420,high
MEM31-C,hostap,src/ap/dpp_hostapd.c,1343,FP,"return here is unrelated to res (deep in the CONFIG_DPP2 block); res remains a non-pointer int.",delta_mem31_task420,high
