rule,idx,project,file,line,verdict,reason,provenance,confidence
CON03-C,0,sqlite,ext/fts5/fts5_tokenize.c,25,FP,"static table written only by static init; read-only after (memcpy source at L81), no race",,high
STR00-C,1,sqlite,ext/fts5/fts5_tokenize.c,48,FP,"(zArg[i] & 0x80)==0 is a deliberate high-bit/ASCII test; negative char still yields nonzero, gating the index use correctly",,high
ARR30-C,2,sqlite,ext/fts5/fts5_tokenize.c,49,FP,index guarded by (zArg[i] & 0x80)==0 so byte is 0..127 within aTokenChar[128],,high
EXP34-C,3,sqlite,ext/fts5/fts5_tokenize.c,49,FP,caller fts5AsciiCreate guards p!=0 (line 76) before calling; p non-null at deref,,high
INT31-C,4,sqlite,ext/fts5/fts5_tokenize.c,49,FP,"bTokenChars is literal 0/1 (lines 85/88); narrowing 0/1 to uchar harmless, not attacker-controlled",,high
INT10-C,5,sqlite,ext/fts5/fts5_tokenize.c,72,FP,"nArg is a non-negative config arg count; signed modulo result well-defined, no negative path",,med
STR04-C,6,sqlite,ext/fts5/fts5_tokenize.c,81,FP,"memcpy between two unsigned char[128] lookup tables; byte copy, signedness irrelevant, not a character-set string",,high
INT32-C,7,sqlite,ext/fts5/fts5_tokenize.c,83,FP,"i is loop counter over nArg config args (tiny, even); i+1 indexes azArg, no overflow",,high
DCL00-C,8,sqlite,ext/fts5/fts5_tokenize.c,108,FP,c is modified: c += 32 at L109,,high
INT07-C,9,sqlite,ext/fts5/fts5_tokenize.c,109,TP,plain char c used in numeric compare/add (c>='A'; c+=32) — genuine plain-char-as-number construct,,high
INT32-C,10,sqlite,ext/fts5/fts5_tokenize.c,109,FP,"c is char in 'A'..'Z' (65-90); c+=32 yields 97-122, no overflow",,high
STR09-C,11,sqlite,ext/fts5/fts5_tokenize.c,109,FP,asciiFold range compare c>='A'&&c<='Z' in SQLite's documented ASCII-only tokenizer; non-portable-EBCDIC concern is out of scope,,high
DCL13-C,12,sqlite,ext/fts5/fts5_tokenize.c,118,FP,fixed fts5_tokenizer xTokenize callback signature; cannot const-qualify,,high
INT32-C,13,sqlite,ext/fts5/fts5_tokenize.c,146,FP,"is bounded by nText (document length, int); is+1 benign offset",,high
INT32-C,14,sqlite,ext/fts5/fts5_tokenize.c,152,FP,"ie-is both in [0,nText], ie>=is, result non-negative bounded by nText",,high
