rule,project,file,line,verdict,reason,provenance,confidence
MSC24-C,raylib,src/platforms/rcore_desktop_glfw.c,1196,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_glfw.c,1199,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_glfw.c,1202,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_rgfw.c,1484,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_rgfw.c,1487,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_rgfw.c,1490,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_rgfw.c,1675,TP,"Live call to strcpy() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_rgfw.c,489,TP,"Live call to strcpy() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_rgfw.c,496,TP,"Live call to strcpy() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_sdl.c,1210,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_sdl.c,1365,TP,"Live call to strtok() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_desktop_sdl.c,1374,TP,"Live call to strtok() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/platforms/rcore_memory.c,395,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1144,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1145,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1146,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1147,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1148,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1149,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1150,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1151,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1152,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1153,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1161,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1162,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1163,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1164,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1165,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1172,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1173,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1174,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1178,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1179,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/raudio.c,1180,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,1899,TP,"Live call to strcat() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2053,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2054,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2055,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2056,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2057,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2058,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2059,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2060,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2061,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2062,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2075,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2077,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2078,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,2079,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,3590,TP,"Live call to sscanf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,3593,TP,"Live call to sscanf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,3661,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,3662,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
MSC24-C,raylib,src/rcore.c,3663,TP,"Live call to sprintf() in raylib code (not dead/disabled), banned by MSC24-C regardless of call-site safety.",delta_msc24_task540,high
