rule,project,file,line,verdict,reason,provenance,confidence
ARR38-C,curl,lib/mime.c,302,FP,"memcpy size is clamped by `if(size>insize) size=insize;` immediately above, bounding it to the available buffer.",delta_lt1_task548,high
DCL40-C,curl,lib/asyn-ares.c,932,TP,"First 31 chars of 'Curl_async_ares_set_dns_local_ip6' and 'Curl_async_ares_set_dns_local_ip4' are identical ('Curl_async_ares_set_dns_local_i'), confirmed by direct comparison.",delta_lt1_task548,high
DCL40-C,curl,lib/asyn.h,166,TP,Same identifier pair as asyn-ares.c:932; first 31 chars identical.,delta_lt1_task548,high
EXP20-C,curl,lib/http_proxy.c,317,TP,"if(!strcmp(alpn, \h2\"")) is the standard implicit-boolean strcmp idiom described by the rule.""",delta_lt1_task548,medium
EXP20-C,curl,lib/noproxy.c,211,FP,"curlx_inet_pton() has a well-defined tristate contract (1/0/-1 only, never >1 per POSIX inet_pton semantics), so the rule's stated concern ('functions may return values > 1') does not apply to this specific ==1 test.",delta_lt1_task548,high
EXP20-C,curl,lib/vssh/libssh.c,1538,TP,"else if(!strncmp(cmd, \statvfs \"""," 8)) is the standard implicit-boolean strncmp idiom.""",delta_lt1_task548
EXP36-C,curl,lib/curl_sha512_256.c,556,FP,"Target type is const uint8_t* (uint8_t == unsigned char, true alignof 1 on all real platforms); the reported target alignment of 4 is simply wrong, so there is no actual alignment mismatch here.",delta_lt1_task548,high
EXP36-C,curl,lib/http_aws_sigv4.c,1073,FP,"Target type is const unsigned char* (true alignof 1); the reported target alignment of 4 is incorrect, no real mismatch.",delta_lt1_task548,high
EXP36-C,curl,lib/idn.c,261,FP,"Target type is const uint8_t* (true alignof 1); the reported target alignment of 4 is incorrect, no real mismatch.",delta_lt1_task548,high
EXP36-C,curl,lib/idn.c,265,FP,"Target type is const uint8_t* (true alignof 1); the reported target alignment of 4 is incorrect, no real mismatch.",delta_lt1_task548,high
EXP36-C,curl,lib/mqtt.c,879,FP,"Target type is const char* (true alignof 1); the reported target alignment of 4 is incorrect, no real mismatch.",delta_lt1_task548,high
INT14-C,curl,lib/httpsrr.c,124,FP,"val is `const unsigned char *`; val[0] promotes to a value in [0,255], so `val[0]<<8 | val[1]` never risks the sign bit within int.",delta_lt1_task548,high
INT14-C,curl,lib/vtls/cipher_suite.c,599,FP,"zip is `const uint8_t zip[6]`; zip[0] promotes to [0,255] before the right-shift, always non-negative — no sign-extension/UB risk.",delta_lt1_task548,high
INT31-C,curl,lib/ftp.c,1304,FP,"port is `unsigned short port`; `port>>8` and `port&0xff` each yield at most 255, both explicitly cast to int for %d formatting — no overflow or sign issue possible.",delta_lt1_task548,high
MSC05-C,curl,lib/altsvc.c,587,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/altsvc.c,590,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/cookie.c,55,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/cookie.c,606,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/curl_ntlm_core.c,449,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/hsts.c,200,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/http.c,3514,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/parsedate.c,546,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/psl.c,73,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
MSC05-C,curl,lib/tftp.c,186,FP,"Standard, overflow-checked time_t arithmetic idiom on POSIX/glibc-class targets where time_t is a well-known linear integer count; no genuine non-POSIX portability concern evident.",delta_lt1_task548,medium
