rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL23-C,0,sqlite,ext/misc/fileio.c,105,FP,DCL23 win32 symbol naming heuristic on external sqlite3_win32_utf8_to_unicode decl not a defect,,high
ERR00-C,1,sqlite,ext/misc/fileio.c,185,FP,fseek SEEK_END failure leaves ftell to report position rewind resets contract tolerant for local fs read,,med
ERR33-C,2,sqlite,ext/misc/fileio.c,185,FP,fseek rc ignored but size validated against mxBlob and fread count checked so unchecked fseek not exploitable defect,,med
FIO14-C,3,sqlite,ext/misc/fileio.c,185,FP,FIO14 SEEK_END on binary stream advisory not a CERT memory defect here,,low
FIO19-C,4,sqlite,ext/misc/fileio.c,185,FP,FIO19 fseek/ftell size advisory style not a defect,,low
ERR33-C,5,sqlite,ext/misc/fileio.c,186,FP,ftell -1 flows into nIn but -1>mxBlob is false then malloc64(1) and fread cast (size_t)-1 huge fread returns short so IOERR set no overflow,,med
ERR07-C,6,sqlite,ext/misc/fileio.c,187,FP,rewind error-checking advisory not a reachable memory defect,,low
ERR00-C,7,sqlite,ext/misc/fileio.c,192,FP,fclose return ignored on read-only stream not a defect,,low
ERR00-C,8,sqlite,ext/misc/fileio.c,198,FP,fclose return ignored not a defect,,low
FIO24-C,9,sqlite,ext/misc/fileio.c,198,FP,line192 and line198 are mutually exclusive early returns no double close,,high
FIO17-C,10,sqlite,ext/misc/fileio.c,201,FP,fread into sized blob buffer not a C string no null terminator required,,high
INT31-C,11,sqlite,ext/misc/fileio.c,201,FP,nIn already bounded by mxBlob>=0 check before cast to size_t so signed-to-unsigned safe,,med
ERR00-C,12,sqlite,ext/misc/fileio.c,207,FP,fclose return ignored not a defect,,low
FIO24-C,13,sqlite,ext/misc/fileio.c,207,FP,line207 reached only when 192 path not taken returns are exclusive no double close,,high
DCL13-C,14,sqlite,ext/misc/fileio.c,218,TP,argv read-only in readfileFunc but signature fixed by sqlite3 UDF function-pointer contract so const not applicable FP,,med
FLP03-C,15,sqlite,ext/misc/fileio.c,265,FP,FLP03 fileTimeToUnixTime integer division not floating point misfire,,high
MSC37-C,16,sqlite,ext/misc/fileio.c,274,FP,fileStat all paths return rc misfire on win32 branch,,high
