rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,0,sqlite,src/where.c,54,FP,"internal accessor; pWInfo non-null guaranteed by planner caller, not untrusted input",,
DCL13-C,1,sqlite,src/where.c,54,TP,"sqlite3WhereOutputRowCount reads only pWInfo->nRowOut; pure accessor, const-compiles",,
API00-C,2,sqlite,src/where.c,62,FP,sqlite3WhereIsDistinct internal accessor; pWInfo guaranteed by caller,,
DCL13-C,3,sqlite,src/where.c,62,TP,reads only pWInfo->eDistinct; pure read-only accessor,,
API00-C,4,sqlite,src/where.c,74,FP,internal accessor; pWInfo guaranteed non-null by caller,,
DCL13-C,5,sqlite,src/where.c,74,TP,sqlite3WhereIsOrdered reads only pWInfo->nOBSat; read-only accessor,,
DCL13-C,6,sqlite,src/where.c,101,TP,sqlite3WhereOrderByLimitOptLabel reads pWInfo->bOrderedInnerLoop/a[]/iContinue only,,
API00-C,7,sqlite,src/where.c,124,FP,"v is the codegen target handle, guaranteed non-null by caller",,
DCL13-C,8,sqlite,src/where.c,124,TP,sqlite3WhereMinMaxOptEarlyOut reads pWInfo fields only; emits via separate Vdbe* v,,
ARR30-C,9,sqlite,src/where.c,130,FP,'a' is unrelated array indexed by bounded loop var i; misattributed to local tRowcnt a[2] at line 2284,,
API00-C,10,sqlite,src/where.c,143,FP,internal accessor; pWInfo guaranteed by caller,,
DCL13-C,11,sqlite,src/where.c,143,TP,sqlite3WhereContinueLabel reads only pWInfo->iContinue,,
API00-C,12,sqlite,src/where.c,152,FP,internal accessor; pWInfo guaranteed by caller,,
DCL13-C,13,sqlite,src/where.c,152,TP,sqlite3WhereBreakLabel reads only pWInfo->iBreak,,
API00-C,14,sqlite,src/where.c,173,FP,internal accessor; pWInfo guaranteed by caller,,
DCL13-C,15,sqlite,src/where.c,173,TP,"sqlite3WhereOkOnePass memcpy reads pWInfo->aiCurOnePass (source) and pWInfo->eOnePass; pWInfo read-only, writes go to aiCur out-param",,
ARR38-C,16,sqlite,src/where.c,174,FP,"memcpy(aiCur, pWInfo->aiCurOnePass, sizeof(int)*2) is fixed 2-int copy into 2-int caller buffer",,
EXP34-C,17,sqlite,src/where.c,174,FP,pWInfo is a non-null planner struct established by caller (sqlite3WhereOkOnePass param); memcpy from pWInfo->aiCurOnePass,,
API00-C,18,sqlite,src/where.c,189,FP,internal accessor; pWInfo guaranteed by caller,,
DCL13-C,19,sqlite,src/where.c,189,TP,sqlite3WhereUsesDeferredSeek reads only pWInfo->bDeferredSeek,,
EXP34-C,20,sqlite,src/where.c,190,FP,pWInfo param established non-null by caller; simple member read,,
DCL13-C,21,sqlite,src/where.c,196,TP,"whereOrMove pSrc is the memcpy source, read-only; const WhereOrSet* compiles",,
ARR01-C,22,sqlite,src/where.c,198,FP,"sizeof(pDest->a[0]) is element-type sizeof, not decayed-pointer sizeof",,
ARR38-C,23,sqlite,src/where.c,198,FP,"memcpy size pDest->n*sizeof(a[0]); pDest->a is fixed N_OR_COST array, n<=N_OR_COST",,
INT30-C,24,sqlite,src/where.c,198,FP,"pDest->n is term count bounded by nTerm; size_t multiply, sqlite alloc idiom",,
INT32-C,25,sqlite,src/where.c,198,FP,"pDest->n is WhereOrSet count, bounded by N_OR_COST (small fixed cap); memcpy size cannot overflow",,
